Country,Capital,Region,Subregion,Languages,Currencies
Sint Maarten (Dutch part),Philipsburg,Americas,Caribbean,"Dutch, English",Netherlands Antillean guilder
Slovakia,Bratislava,Europe,Central Europe,Slovak,Euro
Slovenia,Ljubljana,Europe,Southern Europe,Slovene,Euro
Solomon Islands,Honiara,Oceania,Melanesia,English,Solomon Islands dollar
Somalia,Mogadishu,Africa,Eastern Africa,"Somali, Arabic",Somali shilling
South Africa,Pretoria,Africa,Southern Africa,"Afrikaans, English, Southern Ndebele, Southern Sotho, Swati, Tswana, Tsonga, Venda, Xhosa, Zulu",South African rand
South Georgia and the South Sandwich Islands,King Edward Point,Americas,South America,English,Falkland Islands Pound
Korea (Republic of),Seoul,Asia,Eastern Asia,Korean,South Korean won
Spain,Madrid,Europe,Southern Europe,Spanish,Euro
Sri Lanka,Sri Jayawardenepura Kotte,Asia,Southern Asia,"Sinhalese, Tamil",Sri Lankan rupee
Sudan,Khartoum,Africa,Northern Africa,"Arabic, English",Sudanese pound
South Sudan,Juba,Africa,Middle Africa,English,South Sudanese pound
Suriname,Paramaribo,Americas,South America,Dutch,Surinamese dollar
Svalbard and Jan Mayen,Longyearbyen,Europe,Northern Europe,Norwegian,Norwegian krone
Swaziland,Mbabane,Africa,Southern Africa,"English, Swati",Swazi lilangeni
Sweden,Stockholm,Europe,Northern Europe,Swedish,Swedish krona
Switzerland,Bern,Europe,Central Europe,"German, French, Italian, Romansh",Swiss franc
Syrian Arab Republic,Damascus,Asia,Western Asia,Arabic,Syrian pound
Taiwan,Taipei,Asia,Eastern Asia,Chinese,New Taiwan dollar
Tajikistan,Dushanbe,Asia,Central Asia,"Tajik, Russian",Tajikistani somoni
"Tanzania, United Republic of",Dodoma,Africa,Eastern Africa,"Swahili, English",Tanzanian shilling
Thailand,Bangkok,Asia,South-Eastern Asia,Thai,Thai baht
Timor-Leste,Dili,Asia,South-Eastern Asia,Portuguese,United States Dollar
Togo,Lomé,Africa,Western Africa,French,West African CFA franc
Tokelau,Fakaofo,Oceania,Polynesia,English,New Zealand dollar
Tonga,Nuku'alofa,Oceania,Polynesia,"English, Tonga (Tonga Islands)",Tongan paʻanga
Trinidad and Tobago,Port of Spain,Americas,Caribbean,English,Trinidad and Tobago dollar
Tunisia,Tunis,Africa,Northern Africa,Arabic,Tunisian dinar
Turkey,Ankara,Asia,Western Asia,Turkish,Turkish lira
Turkmenistan,Ashgabat,Asia,Central Asia,"Turkmen, Russian",Turkmenistan manat
Turks and Caicos Islands,Cockburn Town,Americas,Caribbean,English,United States dollar
Tuvalu,Funafuti,Oceania,Polynesia,English,"Australian dollar, Tuvaluan dollar"
Uganda,Kampala,Africa,Eastern Africa,"English, Swahili",Ugandan shilling
Ukraine,Kyiv,Europe,Eastern Europe,Ukrainian,Ukrainian hryvnia
United Arab Emirates,Abu Dhabi,Asia,Western Asia,Arabic,United Arab Emirates dirham
United Kingdom of Great Britain and Northern Ireland,London,Europe,Northern Europe,English,British pound
United States of America,"Washington, D.C.",Americas,Northern America,English,United States dollar
Uruguay,Montevideo,Americas,South America,Spanish,Uruguayan peso
Uzbekistan,Tashkent,Asia,Central Asia,"Uzbek, Russian",Uzbekistani so'm
Vanuatu,Port Vila,Oceania,Melanesia,"Bislama, English, French",Vanuatu vatu
Venezuela (Bolivarian Republic of),Caracas,Americas,South America,Spanish,Venezuelan bolívar
Vietnam,Hanoi,Asia,South-Eastern Asia,Vietnamese,Vietnamese đồng
Wallis and Futuna,Mata-Utu,Oceania,Polynesia,French,CFP franc
Western Sahara,El Aaiún,Africa,Northern Africa,Spanish,"Moroccan dirham, Algerian dinar"
Yemen,Sana'a,Asia,Western Asia,Arabic,Yemeni rial
Zambia,Lusaka,Africa,Eastern Africa,English,Zambian kwacha
Zimbabwe,Harare,Africa,Southern Africa,"English, Shona, Northern Ndebele",Zambian kwacha
