Country,Population 2026,Yearly Change,Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Fert. Rate,Median Age,Urban Pop %,World Share,Capital,Region,Subregion,Languages,Currencies
Congo,6637785,2.36,153348,19,341500,-3298,3.99,18.7,70.3,0.08,Brazzaville,Africa,Middle Africa,"French, Lingala",Central African CFA franc
El Salvador,6391253,0.4,25750,308,20720,-23530,1.74,28.4,80.5,0.077,San Salvador,Americas,Central America,Spanish,United States dollar
Denmark,6023520,0.35,21013,142,42430,18360,1.52,41.3,87.6,0.073,Copenhagen,Europe,Northern Europe,Danish,Danish krone
Singapore,5905748,0.6,34998,8437,700,13379,0.97,36.8,,0.071,Singapore,Asia,South-Eastern Asia,"English, Malay, Tamil, Chinese",Singapore dollar
Lebanon,5897467,0.82,48046,576,10230,-6685,2.19,29.0,84.4,0.071,Beirut,Asia,Western Asia,"Arabic, French",Lebanese pound
Liberia,5853949,2.14,122743,61,96320,-1051,3.71,19.0,55.7,0.071,Monrovia,Africa,Western Africa,English,Liberian dollar
Central African Republic,5698984,3.37,185702,9,622980,-15608,5.69,14.6,44.5,0.069,Bangui,Africa,Middle Africa,"French, Sango",Central African CFA franc
State of Palestine,5692790,1.85,103167,946,6020,-20055,3.13,20.3,85.0,0.069,Ramallah,Asia,Western Asia,Arabic,"Egyptian pound, Israeli new shekel, Jordanian dinar"
Oman,5671458,3.22,176767,18,309500,79740,2.44,29.8,89.6,0.068,Muscat,Asia,Western Asia,Arabic,Omani rial
Norway,5652989,0.53,29918,15,365268,12047,1.42,40.1,86.5,0.068,Oslo,Europe,Northern Europe,"Norwegian, Norwegian Bokmål, Norwegian Nynorsk",Norwegian krone
Finland,5621739,-0.03,-1590,18,303890,12666,1.3,43.4,87.1,0.068,Helsinki,Europe,Northern Europe,"Finnish, Swedish",Euro
Mauritania,5461319,2.75,146254,5,1030700,-5842,4.49,17.5,60.9,0.066,Nouakchott,Africa,Western Africa,Arabic,Mauritanian ouguiya
Slovakia,5451342,-0.43,-23539,113,48088,134,1.57,42.8,54.3,0.066,Bratislava,Europe,Central Europe,Slovak,Euro
Ireland,5356950,0.92,48911,78,68890,32022,1.6,39.2,62.2,0.065,Dublin,Europe,Northern Europe,"Irish, English",Euro
New Zealand,5287479,0.68,35580,20,263310,16435,1.64,38.0,83.7,0.064,Wellington,Oceania,Australia and New Zealand,"English, Māori",New Zealand dollar
Costa Rica,5174789,0.42,21839,101,51060,966,1.31,35.7,85.9,0.062,San José,Americas,Central America,Spanish,Costa Rican colón
Kuwait,5102773,1.53,76695,286,17820,30696,1.49,34.8,91.3,0.061,Kuwait City,Asia,Western Asia,Arabic,Kuwaiti dinar
Panama,4625718,1.19,54529,62,74340,5665,2.07,30.6,71.1,0.056,Panama City,Americas,Central America,Spanish,"Panamanian balboa, United States dollar"
Croatia,3822345,-0.67,-25815,68,55960,-2491,1.47,45.5,62.2,0.046,Zagreb,Europe,Southern Europe,Croatian,Euro
Georgia,3804642,-0.05,-2029,55,69490,1215,1.78,37.6,62.2,0.046,Tbilisi,Asia,Western Asia,Georgian,Georgian Lari
Eritrea,3682669,2.1,75666,36,101000,-7520,3.55,19.5,75.9,0.044,Asmara,Africa,Eastern Africa,"Tigrinya, Arabic, English, Tigre, Kunama, Saho, Bilen, Nara, Afar",Eritrean nakfa
Mongolia,3556798,1.13,39698,2,1553560,12,2.54,27.0,67.3,0.043,Ulan Bator,Asia,Eastern Asia,Mongolian,Mongolian tögrög
Uruguay,3382537,-0.06,-2151,19,175020,-1413,1.38,36.7,,0.041,Montevideo,Americas,South America,Spanish,Uruguayan peso
Puerto Rico,3222688,-0.39,-12601,363,8870,1056,0.94,46.2,,0.039,San Juan,Americas,Caribbean,"Spanish, English",United States dollar
Qatar,3173559,1.85,57670,273,11610,24791,1.69,33.4,96.2,0.038,Doha,Asia,Western Asia,Arabic,Qatari riyal
Namibia,3153246,1.95,60430,4,823290,47,3.13,21.5,55.2,0.038,Windhoek,Africa,Southern Africa,"English, Afrikaans","Namibian dollar, South African rand"
Bosnia and Herzegovina,3114242,-0.82,-25853,61,51000,-7581,1.5,46.1,57.1,0.038,Sarajevo,Europe,Southern Europe,"Bosnian, Croatian, Serbian",Bosnia and Herzegovina convertible mark
Moldova,2961253,-1.16,-34853,90,32850,-16732,1.72,39.1,58.5,0.036,Chișinău,Europe,Eastern Europe,Romanian,Moldovan leu
Armenia,2930915,-0.73,-21450,103,28470,-27000,1.71,37.2,64.4,0.035,Yerevan,Asia,Western Asia,Armenian,Armenian dram
Gambia,2884079,2.2,61986,285,10120,-2894,3.7,18.8,62.2,0.035,Banjul,Africa,Western Africa,English,Gambian dalasi
Jamaica,2833403,-0.13,-3674,262,10830,-11683,1.33,33.3,60.7,0.034,Kingston,Americas,Caribbean,English,Jamaican dollar
Lithuania,2797338,-1.16,-32806,45,62674,-4846,1.22,42.6,68.9,0.034,Vilnius,Europe,Northern Europe,Lithuanian,Euro
Albania,2751025,-0.74,-20483,100,27400,-22595,1.32,37.8,71.6,0.033,Tirana,Europe,Southern Europe,Albanian,Albanian lek
Gabon,2647399,2.09,54269,10,257670,1152,3.49,21.6,83.8,0.032,Libreville,Africa,Middle Africa,French,Central African CFA franc
Botswana,2603388,1.61,41266,5,566730,-4169,2.63,23.7,76.1,0.031,Gaborone,Africa,Southern Africa,"English, Tswana",Botswana pula
Lesotho,2389336,1.1,26011,79,30360,-4876,2.61,22.1,33.3,0.029,Maseru,Africa,Southern Africa,"English, Southern Sotho","Lesotho loti, South African rand"
Guinea-Bissau,2297808,2.15,48293,82,28120,-1893,3.62,19.6,46.6,0.028,Bissau,Africa,Western Africa,Portuguese,West African CFA franc
Slovenia,2114573,-0.12,-2499,105,20140,2609,1.58,45.0,56.1,0.025,Ljubljana,Europe,Southern Europe,Slovene,Euro
Equatorial Guinea,1984468,2.37,46037,71,28050,3533,3.96,20.9,64.2,0.024,Malabo,Africa,Middle Africa,"Spanish, French, Portuguese, Fang",Central African CFA franc
Latvia,1835935,-0.95,-17624,30,62200,-360,1.35,43.8,67.7,0.022,Riga,Europe,Northern Europe,Latvian,Euro
North Macedonia,1804063,-0.54,-9728,72,25220,-5731,1.47,41.4,70.3,0.022,Skopje,Europe,Southern Europe,Macedonian,Macedonian denar
Bahrain,1675572,1.96,32240,2205,760,14280,1.77,33.4,,0.02,Manama,Asia,Western Asia,Arabic,Bahraini dinar
Trinidad and Tobago,1513268,0.14,2113,295,5130,160,1.52,38.2,49.1,0.018,Port of Spain,Americas,Caribbean,English,Trinidad and Tobago dollar
Timor-Leste,1436923,1.3,18406,97,14870,-1695,2.5,22.1,36.7,0.017,Dili,Asia,South-Eastern Asia,Portuguese,United States Dollar
Cyprus,1382334,0.84,11580,150,9240,7210,1.37,39.1,61.1,0.017,Nicosia,Europe,Southern Europe,"Greek (modern), Turkish, Armenian",Euro
Estonia,1331062,-0.98,-13170,31,42390,-716,1.38,43.2,67.5,0.016,Tallinn,Europe,Northern Europe,Estonian,Euro
Eswatini,1269859,1.09,13685,74,17200,-5493,2.64,22.7,31.7,0.015,Mbabane,Africa,Southern Africa,"English, Swati",Swazi lilangeni
Mauritius,1265059,-0.25,-3221,623,2030,-2679,1.21,38.3,41.8,0.015,Port Louis,Africa,Eastern Africa,English,Mauritian rupee
Djibouti,1199459,1.3,15383,52,23180,302,2.54,25.2,71.4,0.014,Djibouti,Africa,Eastern Africa,"French, Arabic",Djiboutian franc
Fiji,937282,0.44,4128,51,18270,-3385,2.23,28.3,61.3,0.011,Suva,Oceania,Melanesia,"English, Fijian, Fiji Hindi, Rotuman",Fijian dollar
Comoros,899010,1.83,16163,483,1861,-2225,3.71,20.7,34.0,0.011,Moroni,Africa,Eastern Africa,"Arabic, French",Comorian franc
RÃ©union,886298,0.44,3893,355,2500,-2079,2.12,38.4,,0.011,Saint-Denis,Africa,Eastern Africa,French,Euro
Solomon Islands,858288,2.34,19643,31,27990,1570,3.42,20.9,23.0,0.01,Honiara,Oceania,Melanesia,English,Solomon Islands dollar
Guyana,840890,0.59,4904,4,196850,-4787,2.35,26.5,26.8,0.01,Georgetown,Americas,South America,English,Guyanese dollar
Bhutan,802214,0.69,5532,21,38117,633,1.43,31.0,51.1,0.0097,Thimphu,Asia,Southern Asia,Dzongkha,"Bhutanese ngultrum, Indian rupee"
Macao,723188,0.16,1181,24106,30,826,0.7,40.3,98.3,0.0087,,Asia,Eastern Asia,"Chinese, Portuguese",Macanese pataca
Luxembourg,687448,1.03,6995,265,2590,4938,1.41,39.7,87.4,0.0083,Luxembourg,Europe,Western Europe,"French, German, Luxembourgish",Euro
Suriname,645256,0.84,5406,4,156000,-965,2.19,28.9,62.4,0.0078,Paramaribo,Americas,South America,Dutch,Surinamese dollar
Montenegro,626233,-1.03,-6496,47,13450,-2824,1.79,40.4,69.7,0.0075,Podgorica,Europe,Southern Europe,"Serbian, Bosnian, Albanian, Croatian",Euro
Western Sahara,610813,1.65,9909,2,266000,4689,2.13,32.8,97.6,0.0074,El Aaiún,Africa,Northern Africa,Spanish,"Moroccan dirham, Algerian dinar"
Malta,549011,0.66,3606,1716,320,2157,1.12,41.5,76.2,0.0066,Valletta,Europe,Southern Europe,"Maltese, English",Euro
Maldives,531517,0.35,1841,1772,300,-2079,1.53,33.4,40.3,0.0064,Malé,Asia,Southern Asia,Divehi,Maldivian rufiyaa
Cabo Verde,529630,0.44,2304,131,4030,-1338,1.49,29.5,79.6,0.0064,Praia,Africa,Western Africa,Portuguese,Cape Verdean escudo
Brunei,469775,0.74,3445,89,5270,8,1.7,33.2,80.6,0.0057,Bandar Seri Begawan,Asia,South-Eastern Asia,Malay,"Brunei dollar, Singapore dollar"
Belize,428644,1.35,5720,19,22810,392,1.99,27.3,49.0,0.0052,Belmopan,Americas,Central America,"English, Spanish",Belize dollar
Bahamas,404628,0.4,1595,40,10010,902,1.36,35.7,88.9,0.0049,Nassau,Americas,Caribbean,English,Bahamian dollar
Iceland,402329,1.02,4063,4,100250,2027,1.49,36.6,83.7,0.0048,Reykjavík,Europe,Northern Europe,Icelandic,Icelandic króna
Guadeloupe,372453,-0.36,-1338,220,1690,-1442,2.04,47.4,,0.0045,Basse-Terre,Americas,Caribbean,French,Euro
Mayotte,347536,3.12,10525,927,375,-2,4.43,17.3,41.1,0.0042,Mamoudzou,Africa,Eastern Africa,French,Euro
Vanuatu,342564,2.21,7395,28,12190,-113,3.5,20.3,25.5,0.0041,Port Vila,Oceania,Melanesia,"Bislama, English, French",Vanuatu vatu
Martinique,337711,-0.8,-2728,319,1060,-2264,1.95,50.2,,0.0041,Fort-de-France,Americas,Caribbean,French,Euro
French Guiana,318872,1.66,5206,4,82200,-765,3.25,24.9,95.2,0.0038,Cayenne,Americas,South America,French,Euro
New Caledonia,297892,0.87,2559,16,18280,348,1.93,34.8,76.3,0.0036,Nouméa,Oceania,Melanesia,French,CFP franc
